Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
5.399996,8.865678,26.48475,1.030412,0.2953576,121.7609,507.0305,1077.505,0.1681377,51460.04,4363.175,657.464,46165.09,46822.56
5.499996,8.971014,27.35203,1.017931,0.2987746,120.5662,512.8964,1079.276,0.1700829,52116.32,4474.248,679.6158,46688.15,47367.77
5.599996,9.072756,28.22964,1.005019,0.3021449,119.4039,518.6821,1080.929,0.1720015,52751.86,4583.067,701.5444,47192.94,47894.48
5.699996,9.170977,29.11725,0.9932589,0.305465,118.2744,524.3815,1082.469,0.1738915,53367.02,4689.565,723.2209,47679.91,48403.13
5.799995,9.268539,30.01469,0.9813405,0.3087204,117.1815,529.97,1083.896,0.1757447,53979.61,4796.762,745.2524,48163.27,48908.52
5.899995,9.369125,30.92207,0.9693537,0.3119804,116.1014,535.5664,1085.246,0.1776005,54612.78,4908.748,768.4933,48661.2,49429.7
5.999995,9.461349,31.8393,0.9582104,0.3152615,115.0286,541.199,1086.526,0.1794684,55194.77,5012.757,790.2867,49117.39,49907.67
6.099995,9.561776,32.76585,0.9475856,0.3184947,113.9854,546.7493,1087.714,0.1813089,55830.14,5127.458,814.5468,49613.8,50428.35
6.199995,9.650796,33.70207,0.936491,0.3215371,113.016,551.972,1088.766,0.1830409,56394.84,5230.429,836.5309,50053.55,50890.09
6.299995,9.748312,34.64755,0.9262228,0.3247114,112.0172,557.4213,1089.797,0.1848479,57014.91,5344.586,861.124,50534.88,51396
6.399995,9.837586,35.60234,0.9158974,0.3276978,111.0891,562.548,1090.708,0.186548,57584.09,5450.393,884.1267,50975.25,51859.38
6.499995,9.929383,36.56627,0.9061686,0.3308554,110.1199,567.9684,1091.609,0.1883455,58170.73,5560.449,908.264,51427.69,52335.96
6.599995,10.01814,37.53928,0.8964484,0.3337755,109.2343,572.9813,1092.388,0.1900078,58739.38,5668.114,932.0844,51864.87,52796.95
6.699995,10.11054,38.52126,0.8867732,0.3368645,108.3088,578.2841,1093.156,0.1917662,59332.87,5781.499,957.3884,52319.67,53277.06
6.799994,10.19562,39.51218,0.8772422,0.3397236,107.4622,583.1923,1093.818,0.1933939,59880.71,5887.09,981.1564,52738.14,53719.29
6.899994,10.28546,40.51186,0.8682601,0.3427259,106.5836,588.3462,1094.462,0.195103,60460.55,5999.811,1006.742,53179.68,54186.42
6.999994,10.37021,41.52027,0.8592944,0.3455613,105.7634,593.2136,1095.024,0.1967171,61009.05,6107.349,1031.355,53596,54627.36
7.099994,10.45505,42.53713,0.8505673,0.3483609,104.9625,598.0195,1095.537,0.1983108,61559.34,6216.131,1056.455,54012.43,55068.88
7.199994,10.53881,43.56247,0.8420832,0.3512701,104.1396,603.0137,1096.026,0.1999669,62103.97,6324.666,1081.698,54423.28,55504.98
7.299994,10.62576,44.59633,0.8337358,0.3540775,103.3545,607.8331,1096.455,0.2015651,62670.78,6438.536,1108.397,54849.52,55957.92
7.399994,10.70514,45.63854,0.8254052,0.3568527,102.5868,612.597,1096.842,0.2031449,63189.47,6543.565,1133.217,55238.37,56371.59
7.499994,10.79038,46.68895,0.8176647,0.3595473,101.8494,617.2228,1097.18,0.2046788,63747.84,6657.497,1160.349,55655.67,56816.02
7.599994,10.86325,47.74763,0.8097579,0.3623136,101.1005,621.9716,1097.491,0.2062536,64226.3,6755.85,1183.946,56012.18,57196.13
7.699994,10.94931,48.81424,0.8018055,0.3650129,100.3774,626.6054,1097.76,0.2077902,64792.74,6873.129,1212.291,56432.98,57645.27
7.799994,11.03164,49.88888,0.794417,0.3675788,99.69709,631.0103,1097.985,0.209251,65335.98,6986.481,1239.904,56835.25,58075.15
7.899993,11.10593,50.9717,0.7868328,0.3703196,98.97787,635.7154,1098.192,0.2108112,65827.24,7089.728,1265.24,57197.93,58463.17
7.999993,11.1874,52.06216,0.7797233,0.3728067,98.33183,639.9849,1098.351,0.212227,66367.47,7204.054,1293.497,57595.57,58889.07
8.099996,11.2665,53.1605,0.7724923,0.3754831,97.64352,644.5793,1098.493,0.2137506,66893.12,7316.104,1321.398,57981.29,59302.69
8.199998,11.34248,54.26659,0.7654482,0.37804,96.99255,648.9688,1098.6,0.2152062,67399.3,7424.748,1348.645,58351.57,59700.22
8.3,11.41984,55.38044,0.7585735,0.3806436,96.33624,653.4382,1098.681,0.2166883,67915.9,7536.381,1376.839,58728.33,60105.17
8.400002,11.49358,56.50175,0.7519103,0.3831544,95.70953,657.7484,1098.734,0.2181176,68409.44,7643.742,1404.143,59087.2,60491.35
8.500005,11.56539,57.63061,0.7451982,0.3856521,95.09203,662.0361,1098.761,0.2195395,68891.21,7749.213,1431.146,59436.51,60867.65
8.600007,11.64213,58.76677,0.738799,0.3880141,94.51347,666.0909,1098.765,0.2208841,69407.3,7862.918,1460.453,59809.58,61270.03
8.700009,11.71581,59.91045,0.7323261,0.3905477,93.89865,670.4402,1098.745,0.2223264,69903.92,7973.05,1489.035,60167.49,61656.52
8.800012,11.78739,61.06144,0.7260059,0.3929644,93.31769,674.5889,1098.704,0.2237021,70387.62,8080.982,1517.231,60515.06,62032.29
8.900014,11.86043,62.21967,0.7200075,0.3953945,92.73888,678.7605,1098.641,0.2250855,70882.25,8192.035,1546.432,60869.45,62415.89
9.000016,11.93313,63.38512,0.7138255,0.39781,92.16875,682.9072,1098.557,0.2264606,71375.77,8303.521,1575.941,61221.98,62797.92
9.100019,12.00268,64.55769,0.7078704,0.4001966,91.61053,687.0042,1098.455,0.2278192,71849.05,8411.075,1604.592,61559.05,63163.64
9.200021,12.07436,65.73725,0.7022485,0.4024591,91.08596,690.8881,1098.339,0.2291072,72337.94,8522.833,1634.552,61906.23,63540.78
9.300023,12.14565,66.92391,0.6962925,0.4048285,90.54136,694.9555,1098.2,0.230456,72825.29,8634.901,1664.787,62251.27,63916.06
9.400025,12.21437,68.11753,0.6907533,0.4071816,90.00524,698.9951,1098.043,0.2317956,73296.24,8743.823,1694.36,62583.72,64278.08
9.500028,12.27987,69.31817,0.6849977,0.4095322,89.4744,703.0302,1097.868,0.2331337,73746.11,8848.447,1722.935,62900.38,64623.31
9.60003,12.34787,70.52551,0.6797748,0.4116811,88.99313,706.7192,1097.693,0.234357,74214.16,8957.892,1753.004,63228.91,64981.92
9.700032,12.41775,71.73962,0.6742826,0.4139769,88.48319,710.6604,1097.489,0.2356639,74696.3,9071.265,1784.344,63566.36,65350.7
9.800035,12.4834,72.96055,0.6688927,0.4162056,87.99232,714.4862,1097.276,0.2369326,75150.34,9178.615,1814.197,63883.19,65697.39
9.900037,12.55236,74.18812,0.66375,0.418457,87.5005,718.3512,1097.046,0.2382143,75628.34,9292.238,1845.984,64215.77,66061.75
10.00004,12.61769,75.42237,0.6586864,0.4206664,87.0218,722.144,1096.805,0.239472,76082.18,9400.704,1876.508,64530.62,66407.13
10.10004,12.68194,76.66315,0.6537576,0.4228177,86.55944,725.8371,1096.556,0.2406967,76529.57,9508.179,1906.927,64840.13,66747.05
10.20004,12.74761,77.91058,0.6484326,0.4251111,86.07053,729.774,1096.277,0.2420022,76987.9,9618.844,1938.427,65156.28,67094.71
10.30005,12.81422,79.16442,0.6435087,0.4272479,85.61865,733.4423,1096.003,0.2432187,77453.8,9731.925,1970.801,65476.73,67447.53
10.40005,12.87665,80.42479,0.6387026,0.4293393,85.17981,737.0325,1095.723,0.2444092,77891.55,9838.716,2001.547,65776.97,67778.52
10.50005,12.94137,81.69145,0.6340752,0.4314978,84.73035,740.7379,1095.421,0.245638,78346.38,9950.214,2033.828,66088,68121.83
10.60005,13.00426,82.96453,0.6293654,0.433526,84.31122,744.2196,1095.125,0.2467926,78789.33,10059.34,2065.597,66390.05,68455.65
10.70006,13.0649,84.24392,0.6247935,0.4357134,83.86263,747.9747,1094.795,0.2480378,79217.39,10165.3,2096.613,66681.16,68777.77
10.80006,13.13015,85.5295,0.6202267,0.4378063,83.43672,751.5676,1094.467,0.2492293,79679.01,10280.12,2130.402,66994.2,69124.59
10.90006,13.18991,86.82133,0.6156996,0.439881,83.01768,755.129,1094.13,0.2504103,80102.78,10386.04,2161.741,67280.71,69442.45
11.00006,13.25198,88.11922,0.611351,0.4418378,82.62529,758.4882,1093.803,0.2515242,80543.9,10496.79,2194.686,67578.13,69772.82
11.10006,13.31306,89.42335,0.6069503,0.4439658,82.2017,762.1412,1093.437,0.2527356,80979.03,10606.55,2227.507,67870.67,70098.18
11.20007,13.37364,90.73354,0.6025374,0.4459501,81.80959,765.5477,1093.085,0.2538652,81411.53,10716.14,2260.452,68160.64,70421.09
11.30007,13.43121,92.04967,0.5983937,0.4478894,81.42905,768.8767,1092.732,0.2549692,81823.43,10820.99,2292.128,68436.03,70728.16
11.40007,13.49379,93.37185,0.5941779,0.4499688,81.02393,772.4464,1092.343,0.256153,82272.14,10935.71,2326.967,68735.19,71062.16
11.50007,13.55219,94.69991,0.5901584,0.4519634,80.63811,775.8704,1091.961,0.2572884,82691.88,11043.51,2359.872,69014.24,71374.12
11.60008,13.60833,96.03387,0.58601,0.4537956,80.28611,779.0158,1091.601,0.2583314,83096.29,11147.81,2391.868,69282.34,71674.2
11.70008,13.66741,97.3736,0.5821229,0.4557734,79.90869,782.4109,1091.205,0.2594573,83522.73,11258.26,2425.915,69564.29,71990.2
11.80008,13.72568,98.71918,0.5780534,0.4577181,79.54013,785.7494,1090.807,0.2605644,83944.34,11367.93,2459.892,69842.27,72302.16
11.90008,13.78561,100.0706,0.5741813,0.4596533,79.17586,789.0716,1090.402,0.2616661,84378.87,11481.44,2495.236,70127.91,72623.15
12.00008,13.84244,101.4277,0.5702092,0.4615905,78.81367,792.3971,1089.988,0.2627688,84791.92,11589.81,2529.144,70398.69,72927.83
12.10009,13.89911,102.7906,0.5664599,0.4634344,78.47123,795.5623,1089.587,0.2638185,85204.68,11698.55,2563.332,70668.53,73231.86
12.20009,13.95561,104.1591,0.562822,0.4653285,78.12173,798.8138,1089.168,0.2648967,85617.12,11807.65,2597.797,70937.42,73535.22
12.30009,14.00817,105.5333,0.5589467,0.4671999,77.77867,802.0265,1088.746,0.2659621,86001.57,11909.74,2630.199,71187.38,73817.58
12.40009,14.06419,106.913,0.5553343,0.4690917,77.43414,805.274,1088.312,0.267039,86412.26,12019.22,2665.104,71453.68,74118.78
12.5001,14.1208,108.2981,0.551836,0.470838,77.11811,808.2719,1087.906,0.2680331,86828.2,12130.55,2700.765,71722.65,74423.41
12.6001,14.17799,109.6889,0.5481939,0.4727027,76.78274,811.473,1087.464,0.2690946,87249.41,12243.73,2737.193,71994.24,74731.44
12.7001,14.2323,111.0852,0.54469,0.4746309,76.4382,814.7831,1087.001,0.2701923,87650.23,12351.87,2772.162,72251.97,75024.13
12.8001,14.28543,112.4869,0.5411212,0.4763756,76.12844,817.7781,1086.575,0.2711855,88043.19,12458.29,2806.729,72503.95,75310.67
12.90011,14.33748,113.8941,0.5376611,0.478222,75.80262,820.9477,1086.118,0.2722366,88429,12563.16,2840.943,72750.67,75591.62
13.00011,14.39209,115.3066,0.5343739,0.4799364,75.50194,823.8907,1085.688,0.2732125,88834.68,12673.84,2877.212,73009.41,75886.62
13.10011,14.44678,116.7244,0.5310357,0.48176,75.18402,827.0214,1085.225,0.2742507,89241.86,12785.34,2913.918,73268.34,76182.27
13.20011,14.49944,118.1475,0.5278519,0.4835686,74.87067,830.1261,1084.759,0.2752803,89634.74,12893.34,2949.629,73517.51,76467.13
13.30011,14.54909,119.5759,0.5245873,0.4853234,74.56849,833.1385,1084.301,0.2762792,90005.95,12995.75,2983.634,73752.3,76735.94
13.40012,14.60529,121.0095,0.5211076,0.4870569,74.27173,836.1143,1083.844,0.277266,90427.08,13112.34,3022.519,74017.94,77040.45
13.50012,14.65592,122.4483,0.5180637,0.4887387,73.98549,839.0013,1083.394,0.2782234,90807.34,13218.01,3057.918,74257.13,77315.05
13.60012,14.70449,123.8924,0.5147989,0.4904719,73.69217,841.9768,1082.926,0.2792101,91172.88,13319.93,3092.202,74486.44,77578.64
13.70012,14.757,125.3415,0.5118568,0.4922199,73.3981,844.9775,1082.449,0.2802052,91568.92,13430.74,3129.629,74734.26,77863.89
13.80013,14.80869,126.7958,0.508745,0.4939742,73.1047,847.9891,1081.964,0.2812038,91959.52,13540.41,3166.834,74978.01,78144.84
13.90013,14.8601,128.2551,0.5056334,0.4955662,72.83994,850.7219,1081.52,0.2821101,92349.03,13650.15,3204.218,75220.37,78424.59
