Time,Speed,Distance,acceleration,force,torque,rpm
10.50005,2.575595,11.25994,-0.2457663,0.01428252,23.3478,24.59512
10.60005,2.598382,11.49455,-0.2457663,0.01441104,23.3478,24.81272
10.70006,2.624705,11.73157,-0.2457663,0.01456683,23.3478,25.06408
10.80006,2.64823,11.97117,-0.2457663,0.01467967,23.3478,25.28873
10.90006,2.669955,12.21314,-0.2457663,0.01482218,23.3478,25.49619
11.00006,2.697745,12.45775,-0.2457663,0.01498219,23.3478,25.76157
11.10006,2.721536,12.70479,-0.2457663,0.01511762,23.3478,25.98875
11.20007,2.747586,12.95424,-0.2457663,0.01524306,23.3478,26.23751
11.30007,2.770642,13.20618,-0.2457663,0.01537323,23.3478,26.45768
11.40007,2.793679,13.46048,-0.2457663,0.01550783,23.3478,26.67767
11.50007,2.819387,13.7173,-0.2457663,0.01563589,23.3478,26.92316
11.60008,2.842187,13.97642,-0.2457663,0.01576373,23.3478,27.14088
11.70008,2.866677,14.23816,-0.2457663,0.01591159,23.3478,27.37475
11.80008,2.889531,14.50239,-0.2457663,0.01602524,23.3478,27.59299
11.90008,2.918863,14.76897,-0.2457663,0.01620113,23.3478,27.87309
12.00008,2.939839,15.0382,-0.2457663,0.01634503,23.3478,28.0734
12.10009,2.96578,15.30969,-0.2457663,0.01645106,23.3478,28.32111
12.20009,2.989731,15.58374,-0.2457663,0.016596,23.3478,28.54982
12.30009,3.014942,15.86018,-0.2457663,0.01672008,23.3478,28.79058
12.40009,3.041465,16.13919,-0.2457663,0.01688698,23.3478,29.04385
12.5001,3.062676,16.42061,-0.2457663,0.01702642,23.3478,29.2464
12.6001,3.086111,16.70439,-0.2457663,0.01711678,23.3478,29.47019
12.7001,3.115043,16.99071,-0.2457663,0.01727862,23.3478,29.74647
12.8001,3.137033,17.27961,-0.2457663,0.01744229,23.3478,29.95646
12.90011,3.159663,17.57076,-0.2457663,0.01754505,23.3478,30.17256
13.00011,3.186953,17.86449,-0.2457663,0.01771484,23.3478,30.43316
13.10011,3.214456,18.16072,-0.2457663,0.01784617,23.3478,30.69579
13.20011,3.235353,18.45938,-0.2457663,0.01796415,23.3478,30.89534
13.30011,3.259691,18.76048,-0.2457663,0.0181207,23.3478,31.12775
13.40012,3.287722,19.06401,-0.2457663,0.01825203,23.3478,31.39543
13.50012,3.312408,19.37,-0.2457663,0.01836902,23.3478,31.63117
13.60012,3.33461,19.67847,-0.2457663,0.01853116,23.3478,31.84318
13.70012,3.361333,19.98937,-0.2457663,0.01864831,23.3478,32.09836
13.80013,3.380164,20.30271,-0.2457663,0.01875055,23.3478,32.27819
13.90013,3.407937,20.61848,-0.2457663,0.01891241,23.3478,32.5434
14.00013,3.434764,20.93679,-0.2457663,0.01905995,23.3478,32.79958
14.10013,3.45597,21.25748,-0.2457663,0.0192137,23.3478,33.00208
14.20014,3.480274,21.58061,-0.2457663,0.01932336,23.3478,33.23417
14.30014,3.503364,21.90625,-0.2457663,0.01944041,23.3478,33.45466
14.40014,3.532577,22.23426,-0.2457663,0.01961283,23.3478,33.73363
14.50014,3.553925,22.56482,-0.2457663,0.01975533,23.3478,33.93748
14.60014,3.577744,22.89775,-0.2457663,0.0198508,23.3478,34.16494
14.70015,3.602839,23.23325,-0.2457663,0.02000829,23.3478,34.40458
14.80015,3.62894,23.57117,-0.2457663,0.0201744,23.3478,34.65382
14.90015,3.656314,23.91156,-0.2457663,0.02030377,23.3478,34.91522
15.00015,3.677409,24.25447,-0.2457663,0.02044216,23.3478,35.11667
15.10016,3.704022,24.59979,-0.2457663,0.02058614,23.3478,35.37081
15.20016,3.728199,24.94764,-0.2457663,0.02070328,23.3478,35.60168
15.30016,3.74989,25.29795,-0.2457663,0.02081429,23.3478,35.80881
15.40016,3.773591,25.65058,-0.2457663,0.02095178,23.3478,36.03514
15.50016,3.800412,26.00565,-0.2457663,0.02113195,23.3478,36.29126
15.60017,3.82355,26.36315,-0.2457663,0.02121929,23.3478,36.51221
15.70017,3.8494,26.72306,-0.2457663,0.02137012,23.3478,36.75906
15.80017,3.874801,27.08564,-0.2457663,0.02154361,23.3478,37.00162
15.90017,3.897652,27.45067,-0.2457663,0.02163939,23.3478,37.21984
16.00018,3.927332,27.81798,-0.2457663,0.02178334,23.3478,37.50326
16.10018,3.944691,28.18783,-0.2457663,0.02189166,23.3478,37.66903
16.20018,3.975101,28.56013,-0.2457663,0.02208147,23.3478,37.95942
16.30018,4.000741,28.93502,-0.2457663,0.02221008,23.3478,38.20426
16.40018,4.024167,29.3124,-0.2457663,0.02236104,23.3478,38.42796
16.50019,4.049143,29.69207,-0.2457663,0.02248953,23.3478,38.66647
16.60019,4.072661,30.07427,-0.2457663,0.02260804,23.3478,38.89105
16.70019,4.094599,30.45883,-0.2457663,0.02274511,23.3478,39.10054
16.80019,4.119203,30.84573,-0.2457663,0.02286875,23.3478,39.33549
16.9002,4.143481,31.23534,-0.2457663,0.02299494,23.3478,39.56733
17.0002,4.169088,31.62729,-0.2457663,0.02315407,23.3478,39.81186
17.1002,4.193916,32.02182,-0.2457663,0.02331861,23.3478,40.04895
17.2002,4.22219,32.41874,-0.2457663,0.02344743,23.3478,40.31895
17.30021,4.243289,32.81812,-0.2457663,0.02359453,23.3478,40.52042
17.40021,4.267189,33.21991,-0.2457663,0.02372464,23.3478,40.74865
17.50021,4.295362,33.62419,-0.2457663,0.02386367,23.3478,41.01768
17.60021,4.32037,34.03094,-0.2457663,0.02399647,23.3478,41.2565
17.70021,4.342827,34.44014,-0.2457663,0.02411637,23.3478,41.47094
17.80022,4.36941,34.85179,-0.2457663,0.02426867,23.3478,41.72479
17.90022,4.392721,35.26598,-0.2457663,0.02438817,23.3478,41.94739
18.00022,4.413034,35.68257,-0.2457663,0.02451468,23.3478,42.14137
18.10022,4.440598,36.10154,-0.2457663,0.024687,23.3478,42.40459
18.20023,4.46222,36.52321,-0.2457663,0.02479839,23.3478,42.61106
18.30023,4.492329,36.94721,-0.2457663,0.02496093,23.3478,42.89858
18.40023,4.511809,37.37364,-0.2457663,0.02503843,23.3478,43.08461
18.50023,4.540163,37.80264,-0.2457663,0.02523618,23.3478,43.35536
18.60023,4.566199,38.23409,-0.2457663,0.02535827,23.3478,43.60399
18.70024,4.590865,38.66788,-0.2457663,0.02548253,23.3478,43.83953
18.80024,4.609157,39.10413,-0.2457663,0.0255927,23.3478,44.01421
18.90024,4.631413,39.54251,-0.2457663,0.02569119,23.3478,44.22674
19.00024,4.662489,39.98351,-0.2457663,0.02588788,23.3478,44.52349
19.10025,4.686825,40.42722,-0.2457663,0.02603553,23.3478,44.75588
19.20025,4.711464,40.87329,-0.2457663,0.02615321,23.3478,44.99117
19.30025,4.737255,41.32173,-0.2457663,0.0263057,23.3478,45.23745
19.40025,4.756196,41.77267,-0.2457663,0.02640574,23.3478,45.41833
19.50026,4.783645,42.22605,-0.2457663,0.02660138,23.3478,45.68045
